id,group_id,event_id,venue_id,venue_name,time,address,lat,lon
278,37994,267091137,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
279,37994,267278627,26034125,World Bar,1577838600000,845 United Nations Plaza,40.752518,-73.96769
280,37994,267069311,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
281,37994,267004679,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
3022,52576,267119642,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
3023,52576,267142691,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
3024,52576,267248414,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
4115,110560,267119651,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
4116,110560,266919269,26758707,Aura Light and Sound,1577838600000,1900 Hempstead Tpke,40.723553,-73.56595
4117,110560,267142701,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
4118,110560,267248424,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
7264,125245,267087314,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
7265,125245,267273988,26034125,World Bar,1577838600000,845 United Nations Plaza,40.752518,-73.96769
7266,125245,266801163,26290585,The World Bar,1577840400000,845 United Nations PlazaCorner 1st ave and east 48th,40.75252,-73.9677
7267,125245,267534713,26136720,Stout NYC ~ Grand Central,1577840400000,60 E 41st St,40.75161,-73.97882
7268,125245,267063333,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
7269,125245,266800943,26752486,Stout at Grand Central,1577840400000,2nd Floor 60 East 41st Street at Park Avenue ,40.751575,-73.9791
7270,125245,266999188,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
8827,188667,wbhlcryzqbnc,25569096,Ethyl's Alcohol & Food,1577754000000,1629 2nd Avenue,40.777073,-73.95266
9423,191073,267091134,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
9424,191073,267278591,26034125,World Bar,1577838600000,845 United Nations Plaza,40.752518,-73.96769
9425,191073,267069308,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
9426,191073,267004674,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
10365,192000,267091178,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
10366,192000,267278395,26034125,World Bar,1577838600000,845 United Nations Plaza,40.752518,-73.96769
10367,192000,267004702,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
10368,192000,267069248,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
10745,204655,nljfmqyzqbpc,2474551,Wall Street Chinese,1577836800000,32 Broadway # 1812,40.705933,-74.013023
12092,213982,267091159,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
12093,213982,267278215,26034125,World Bar,1577838600000,845 United Nations Plaza,40.752518,-73.96769
12094,213982,267004646,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
12095,213982,267069215,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
13385,218324,267091170,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
13386,218324,267278286,26034125,World Bar,1577838600000,845 United Nations Plaza,40.752518,-73.96769
13387,218324,267004677,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
13388,218324,267069244,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
14412,228267,267439350,26088154,Hudson Station,1577844000000,440 9th Ave,40.753822,-73.995735
15259,237101,266938327,26759834,Aura Light and Sound,1577838600000,1900 Hempstead Tpke,40.723553,-73.56595
16206,237462,267091060,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
16207,237462,267278443,26034125,World Bar,1577838600000,845 United Nations Plaza,40.752518,-73.96769
16208,237462,267004623,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
16209,237462,267069282,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
18633,278104,267091175,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
18634,278104,267278335,26034125,World Bar,1577838600000,845 United Nations Plaza,40.752518,-73.96769
18635,278104,267004684,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
18636,278104,266670311,26745316,The Sanctuary,1577844000000,851 Main St,40.76851,-73.94504
18951,291209,267474993,26197905,Washington Square Park,1577847600000,Washington Square,40.730885,-73.99733
19855,317159,267090506,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
19856,317159,267003147,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
19857,317159,267068643,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
21635,342580,lvllxqyzqbnc,19875162,Latin Moves Dance Studio,1577755800000,480 West Main Street,41.048309,-73.557785
21636,342580,zwddlryzqbpc,19875162,Latin Moves Dance Studio,1577842200000,480 West Main Street,41.048309,-73.557785
23997,344877,267091141,26244835,Croton Reservoir Tavern,1577836800000,108 W 40th St,40.753666,-73.985825
23998,344877,267278646,26034125,World Bar,1577838600000,845 United Nations Plaza,40.752518,-73.96769
23999,344877,267069315,26018497,The Playwright Irish Pub,1577840400000,27 W 35th St,40.74979,-73.98538
24000,344877,267534589,26136720,Stout NYC ~ Grand Central,1577840400000,60 E 41st St,40.75161,-73.97882
24001,344877,266800840,26347582,Stout at Grand Central,1577840400000,2nd Floor60 East 41st Street at Park Avenue,40.751575,-73.9791
24002,344877,266801065,26274219,The World Bar,1577840400000,845 United Nations PlazaCorner 1st ave and east 48th,40.75252,-73.9677
24003,344877,267004683,26275189,STITCH Bar & Lounge,1577840400000,247 W 37th St,40.754047,-73.99144
24004,344877,266670327,26745316,The Sanctuary,1577844000000,851 Main St,40.76851,-73.94504
24512,355348,rnwggqyzqbpc,25461884,United Nations Area,1577835000000,E 46 & 2nd Ave,40.752365,-73.970337
